player,team,playerID
A.J. Price,IND,1
Aaron Brooks,CHI,1
Aaron Gordon,ORL,1
Adreian Payne,ATL,1
Al Horford,ATL,2
Al Jefferson,CHA,1
Alan Anderson,BKN,1
Alec Burks,UTA,1
Alex Kirk,CLE,1
Alex Len,PHX,1
Alexey Shved,PHI,1
Alexis Ajinca,NOP,1
Al-Farouq Aminu,DAL,1
Allen Crabbe,POR,1
Alonzo Gee,DEN,1
Amar'e Stoudemire,NYK,1
Amir Johnson,TOR,1
Anderson Varejao,CLE,2
Andre Dawkins,MIA,1
Andre Drummond,DET,1
Andre Iguodala,GSW,1
Andre Miller,WAS,1
Andre Roberson,OKC,1
Andrea Bargnani,NYK,2
Andrei Kirilenko,BKN,2
Andrew Bogut,GSW,2
Andrew Nicholson,ORL,2
Andrew Wiggins,MIN,1
Anthony Bennett,MIN,2
Anthony Davis,NOP,2
Anthony Morrow,OKC,2
Anthony Tolliver,PHX,2
Archie Goodwin,PHX,3
Aron Baynes,SAS,1
Arron Afflalo,DEN,2
Austin Daye,SAS,2
Austin Rivers,NOP,3
Avery Bradley,BOS,1
Ben Gordon,ORL,3
Ben McLemore,SAC,1
Beno Udrih,MEM,1
Bismack Biyombo,CHA,2
Blake Griffin,LAC,1
Bojan Bogdanovic,BKN,3
Boris Diaw,SAS,3
Bradley Beal,WAS,2
Brandan Wright,DAL,2
Brandon Bass,BOS,2
Brandon Davies,PHI,2
Brandon Jennings,DET,2
Brandon Knight,MIL,1
Brandon Rush,GSW,3
Brendan Haywood,CLE,3
Brian Roberts,CHA,3
Brook Lopez,BKN,4
Bruno Caboclo,TOR,2
Cameron Bairstow,CHI,2
Carl Landry,SAC,2
Carlos Boozer,LAL,1
Carmelo Anthony,NYK,3
Caron Butler,DET,3
Cartier Martin,DET,4
Chandler Parsons,DAL,3
Channing Frye,ORL,4
Charles Hayes,TOR,3
Charlie Villanueva,DAL,4
Chase Budinger,MIN,3
Chris Andersen,MIA,2
Chris Bosh,MIA,3
Chris Copeland,IND,2
Chris Douglas-Roberts,LAC,2
Chris Johnson,PHI,3
Chris Kaman,POR,2
Chris Paul,LAC,3
CJ McCollum,POR,3
CJ Miles,IND,3
CJ Watson,IND,4
CJ Wilcox,LAC,4
Cleanthony Early,NYK,4
Clint Capela,HOU,1
Cody Zeller,CHA,4
Cole Aldrich,NYK,5
Corey Brewer,MIN,4
Cory Jefferson,BKN,5
Cory Joseph,SAS,4
Courtney Lee,MEM,2
D.J. Augustin,DET,5
Dahntay Jones,LAC,5
Damian Lillard,POR,4
Damjan Rudez,IND,5
Danilo Gallinari,DEN,3
Danny Granger,MIA,4
Danny Green,SAS,5
Dante Cunningham,NOP,4
Dante Exum,UTA,2
Darius Miller,NOP,5
Darius Morris,BKN,6
Darrell Arthur,DEN,4
Darren Collison,SAC,3
David Lee,GSW,4
David West,IND,6
DeAndre Jordan,LAC,6
DeJuan Blair,WAS,3
DeMar DeRozan,TOR,4
DeMarcus Cousins,SAC,4
DeMarre Carroll,ATL,3
Dennis Schroder,ATL,4
Deron Williams,BKN,7
Derrick Favors,UTA,3
Derrick Rose,CHI,3
Derrick Williams,SAC,5
Devin Harris,DAL,5
Devyn Marble,ORL,5
Dewayne Dedmon,ORL,6
Dion Waiters,CLE,4
Dirk Nowitzki,DAL,6
Donald Sloan,IND,7
Donatas Motiejunas,HOU,2
Dorell Wright,POR,5
Doug McDermott,CHI,4
Draymond Green,GSW,5
Drew Gooden,WAS,4
Drew Gordon,PHI,4
Dwight Howard,HOU,3
Dwight Powell,BOS,3
Dwyane Wade,MIA,5
Ed Davis,LAL,2
Ekpe Udoh,LAC,7
Elfrid Payton,ORL,7
Elijah Millsap,UTA,4
Elliot Williams,UTA,5
Elton Brand,ATL,5
Enes Kanter,UTA,6
Eric Bledsoe,PHX,4
Eric Gordon,NOP,6
Eric Moreland,SAC,6
Erick Green,DEN,5
Ersan Ilyasova,MIL,2
E'Twaun Moore,CHI,5
Evan Fournier,ORL,8
Evan Turner,BOS,4
Festus Ezeli,GSW,6
Francisco Garcia,HOU,4
Furkan Aldemir,PHI,5
Gal Mekel,NOP,7
Garrett Temple,WAS,5
Gary Harris,DEN,6
Gary Neal,CHA,5
George Hill,IND,8
Gerald Green,PHX,5
Gerald Henderson,CHA,6
Gerald Wallace,BOS,5
Giannis Antetokounmpo,MIL,3
Gigi Datome,DET,6
Glen Davis,LAC,8
Glen Rice Jr.,WAS,6
Glenn Robinson,MIN,5
Goran Dragic,PHX,6
Gordon Hayward,UTA,7
Gorgui Dieng,MIN,6
Grant Jerrett,OKC,3
Greg Monroe,DET,7
Greg Smith,DAL,7
Greg Stiemsma,TOR,5
Greivis Vasquez,TOR,6
Harrison Barnes,GSW,7
Hassan Whiteside,MIA,6
Hedo Turkoglu,LAC,9
Henry Sims,PHI,6
Hollis Thompson,PHI,7
Ian Clark,UTA,8
Ian Mahinmi,IND,9
Iman Shumpert,NYK,6
Isaiah Canaan,HOU,5
Isaiah Thomas,PHX,7
Ish Smith,OKC,4
J.R. Smith,NYK,7
Jabari Parker,MIL,4
Jae Crowder,DAL,8
JaKarr Sampson,PHI,8
Jamal Crawford,LAC,10
Jameer Nelson,DAL,9
James Ennis,MIA,7
James Harden,HOU,6
James Johnson,TOR,7
James Jones,CLE,5
James Michael McAdoo,GSW,8
James Young,BOS,6
JaMychal Green,SAS,6
Jannero Pargo,CHA,7
Jared Cunningham,LAC,11
Jared Dudley,MIL,5
Jared Sullinger,BOS,7
Jarnell Stokes,MEM,3
Jarrett Jack,BKN,8
Jason Maxiell,CHA,8
Jason Smith,NYK,8
Jason Terry,HOU,7
Jason Thompson,SAC,7
JaVale McGee,DEN,7
Jeff Adrien,MIN,7
Jeff Ayres,SAS,7
Jeff Green,BOS,8
Jeff Taylor,CHA,9
Jeff Teague,ATL,6
Jeff Withey,NOP,8
Jerami Grant,PHI,9
Jeremy Evans,UTA,9
Jeremy Lamb,OKC,5
Jeremy Lin,LAL,3
Jerome Jordan,BKN,9
Jerryd Bayless,MIL,6
Jimmer Fredette,NOP,9
Jimmy Butler,CHI,6
JJ Hickson,DEN,8
JJ Redick,LAC,12
Joakim Noah,CHI,7
Jodie Meeks,DET,8
Joe Harris,CLE,6
Joe Ingles,UTA,10
Joe Johnson,BKN,10
Joel Anthony,DET,9
Joel Freeland,POR,6
Joey Dorsey,HOU,8
John Henson,MIL,7
John Jenkins,ATL,7
John Salmons,NOP,10
John Wall,WAS,7
Johnny O'Bryant,MIL,8
Jon Leuer,MEM,4
Jonas Jerebko,DET,10
Jonas Valanciunas,TOR,8
Jordan Adams,MEM,5
Jordan Clarkson,LAL,4
Jordan Farmar,LAC,13
Jordan Hill,LAL,5
Jorge Gutierrez,BKN,11
Jose Calderon,NYK,9
Jose Juan Barea,DAL,10
Josh McRoberts,MIA,8
Josh Smith,DET,11
Jrue Holiday,NOP,11
Julius Randle,LAL,6
Justin Hamilton,MIA,9
Justin Holiday,GSW,9
Jusuf Nurkic,DEN,9
Kalin Lucas,MEM,6
Kawhi Leonard,SAS,8
Kelly Olynyk,BOS,9
Kemba Walker,CHA,10
Kendall Marshall,MIL,9
Kendrick Perkins,OKC,6
Kenneth Faried,DEN,10
Kent Bazemore,ATL,8
Kentavious Caldwell-Pope,DET,12
Kenyon Martin,MIL,10
Kevin Durant,OKC,7
Kevin Garnett,BKN,12
Kevin Love,CLE,7
Kevin Martin,MIN,8
Kevin Seraphin,WAS,8
Khris Middleton,MIL,11
Kirk Hinrich,CHI,8
KJ McDaniels,PHI,10
Klay Thompson,GSW,10
Kobe Bryant,LAL,7
Kosta Koufos,MEM,7
Kostas Papanikolaou,HOU,9
Kris Humphries,WAS,9
Kyle Anderson,SAS,9
Kyle Korver,ATL,9
Kyle Lowry,TOR,9
Kyle O'Quinn,ORL,9
Kyle Singler,DET,13
Kyrie Irving,CLE,8
LaMarcus Aldridge,POR,7
Lance Stephenson,CHA,11
Lance Thomas,OKC,8
Landry Fields,TOR,10
Langston Galloway,NYK,10
Larry Drew,PHI,11
Larry Sanders,MIL,12
Lavoy Allen,IND,10
Leandro Barbosa,GSW,11
LeBron James,CLE,9
Lorenzo Brown,MIN,9
Lou Amundson,CLE,10
Lou Williams,TOR,11
Luc Mbah a Moute,PHI,12
Lucas Nogueira,TOR,12
Luis Scola,IND,11
Luke Babbitt,NOP,12
Luke Ridnour,ORL,10
Luol Deng,MIA,10
Malcolm Lee,PHI,13
Malcolm Thomas,PHI,14
Manu Ginobili,SAS,10
Marc Gasol,MEM,8
Marcin Gortat,WAS,10
Marco Belinelli,SAS,11
Marcus Morris,PHX,8
Marcus Smart,BOS,10
Marcus Thornton,BOS,11
Mario Chalmers,MIA,11
Markel Brown,BKN,13
Markieff Morris,PHX,9
Marreese Speights,GSW,12
Martell Webster,WAS,11
Marvin Williams,CHA,12
Mason Plumlee,BKN,14
Matt Barnes,LAC,14
Matt Bonner,SAS,12
Matthew Dellavedova,CLE,11
Maurice Harkless,ORL,11
Meyers Leonard,POR,8
Michael Carter-Williams,PHI,15
Michael Kidd-Gilchrist,CHA,13
Mike Conley,MEM,9
Mike Dunleavy,CHI,9
Mike Miller,CLE,12
Mike Muscala,ATL,10
Mike Scott,ATL,11
Miles Plumlee,PHX,10
Miroslav Raduljica,MIN,10
Mirza Teletovic,BKN,15
Mitch McGary,OKC,9
Mo Williams,MIN,11
Monta Ellis,DAL,11
Nate Robinson,DEN,11
Nate Wolters,MIL,13
Nazr Mohammed,CHI,10
Nene,WAS,12
Nerlens Noel,PHI,16
Nick Calathes,MEM,10
Nick Collison,OKC,10
Nick Johnson,HOU,10
Nick Young,LAL,8
Nicolas Batum,POR,9
Nik Stauskas,SAC,8
Nikola Mirotic,CHI,11
Nikola Pekovic,MIN,12
Nikola Vucevic,ORL,12
Noah Vonleh,CHA,14
Norris Cole,MIA,12
O.J. Mayo,MIL,14
Ognjen Kuzmic,GSW,13
Omer Asik,NOP,13
Omri Casspi,SAC,9
Otto Porter,WAS,13
Pablo Prigioni,NYK,11
Patrick Beverley,HOU,11
Patrick Christopher,UTA,11
Patrick Patterson,TOR,13
Patty Mills,SAS,13
Pau Gasol,CHI,12
Paul Millsap,ATL,12
Paul Pierce,WAS,14
Pero Antic,ATL,13
Perry Jones,OKC,11
Phil Pressey,BOS,12
PJ Hairston,CHA,15
PJ Tucker,PHX,11
Quincy Acy,NYK,12
Quincy Miller,SAC,10
Quincy Pondexter,MEM,11
Rajon Rondo,BOS,13
Ramon Sessions,SAC,11
Randy Foye,DEN,12
Rasual Butler,WAS,15
Ray McCallum,SAC,12
Raymond Felton,DAL,12
Reggie Bullock,LAC,15
Reggie Evans,SAC,13
Reggie Jackson,OKC,12
Reggie Williams,SAS,14
Richard Jefferson,DAL,13
Ricky Ledo,DAL,14
Ricky Rubio,MIN,13
Robbie Hummel,MIN,14
Robert Covington,PHI,17
Robert Sacre,LAL,9
Robin Lopez,POR,10
Rodney Hood,UTA,12
Rodney Stuckey,IND,12
Ronnie Price,LAL,10
Roy Hibbert,IND,13
Rudy Gay,SAC,14
Rudy Gobert,UTA,13
Russ Smith,NOP,14
Russell Westbrook,OKC,13
Ryan Anderson,NOP,15
Ryan Hollins,SAC,15
Ryan Kelly,LAL,11
Samuel Dalembert,NYK,13
Sebastian Telfair,OKC,14
Serge Ibaka,OKC,15
Sergey Karasev,BKN,16
Shabazz Muhammad,MIN,15
Shabazz Napier,MIA,13
Shane Larkin,NYK,14
Shannon Brown,MIA,14
Shaun Livingston,GSW,14
Shavlik Randolph,PHX,12
Shawn Marion,CLE,13
Shawne Williams,MIA,15
Shayne Whittington,IND,14
Shelvin Mack,ATL,14
Solomon Hill,IND,15
Spencer Dinwiddie,DET,14
Spencer Hawes,LAC,16
Stephen Curry,GSW,15
Steve Blake,POR,11
Steve Novak,UTA,14
Steven Adams,OKC,16
Taj Gibson,CHI,13
Tarik Black,HOU,12
Tayshaun Prince,MEM,12
Terrence Jones,HOU,13
Terrence Ross,TOR,14
Thabo Sefolosha,ATL,15
Thaddeus Young,MIN,16
Thomas Robinson,POR,12
Tiago Splitter,SAS,15
Tim Duncan,SAS,16
Tim Hardaway Jr.,NYK,15
Timofey Mozgov,DEN,13
TJ Warren,PHX,13
Tobias Harris,ORL,13
Tony Allen,MEM,13
Tony Parker,SAS,17
Tony Snell,CHI,14
Tony Wroten,PHI,18
Toure Murry,UTA,15
Travis Wear,NYK,16
Trevor Ariza,HOU,14
Trevor Booker,UTA,16
Trey Burke,UTA,17
Tristan Thompson,CLE,14
Troy Daniels,HOU,15
Ty Lawson,DEN,14
Tyler Ennis,PHX,14
Tyler Hansbrough,TOR,15
Tyler Johnson,MIA,16
Tyler Zeller,BOS,14
Tyreke Evans,NOP,16
Tyrus Thomas,MEM,14
Tyson Chandler,DAL,15
Udonis Haslem,MIA,17
Victor Claver,POR,13
Victor Oladipo,ORL,14
Vince Carter,MEM,15
Wayne Ellington,LAL,12
Wesley Johnson,LAL,13
Wesley Matthews,POR,14
Will Barton,POR,15
Will Cherry,CLE,15
Willie Green,ORL,15
Wilson Chandler,DEN,15
Xavier Henry,LAL,14
Zach LaVine,MIN,17
Zach Randolph,MEM,16
Zaza Pachulia,MIL,15
Zoran Dragic,PHX,15
